Age; Workclass; Education; Years of Education; Marital Status; Occupation; Relationship; Race; Sex; Hours Work per Week; Income
39;r7;10;13;5;1;2;2;0;40;0
50;6;10;13;3;4;1;2;0;13;0
38;4;12;9;1;6;2;2;0;40;0
53;4;2;7;3;6;1;1;0;40;0
28;4;10;13;3;10;6;1;1;40;0
37;4;13;14;3;4;6;2;1;40;0
49;4;7;5;4;8;2;1;1;16;0
52;6;12;9;3;4;1;2;0;45;1
31;4;13;14;5;10;2;2;1;50;1
42;4;10;13;3;4;1;2;0;40;1
37;4;16;10;3;4;1;1;0;80;1
30;7;10;13;3;10;1;4;0;40;1
23;4;10;13;5;1;4;2;1;30;0
32;4;8;12;5;12;2;1;0;50;0
40;4;9;11;3;3;1;4;0;40;1
34;4;6;4;3;14;1;3;0;45;0
25;6;12;9;5;5;4;2;0;35;0
32;4;12;9;5;7;5;2;0;40;0
38;4;2;7;3;12;1;2;0;50;0
43;6;13;14;1;4;5;2;1;45;1
40;4;11;16;3;10;1;2;0;60;1
54;4;12;9;6;8;5;1;1;20;0
35;1;7;5;3;5;1;1;0;40;0
43;4;2;7;3;14;1;2;0;40;0
59;4;12;9;1;13;5;2;1;40;0
56;2;10;13;3;13;1;2;0;40;1
19;4;12;9;5;3;4;2;0;40;0
54;?;16;10;3;;1;4;0;60;1
39;4;12;9;1;4;2;2;0;80;0
49;4;12;9;3;3;1;2;0;40;0
23;2;8;12;5;11;2;2;0;52;0
20;4;16;10;5;12;4;1;0;44;0
45;4;10;13;1;4;4;2;0;40;0
30;1;16;10;3;1;4;2;0;40;0
22;7;16;10;3;8;1;1;0;15;0
48;4;2;7;5;7;5;2;0;40;0
21;4;16;10;5;7;4;2;0;40;0
19;4;12;9;2;1;6;2;1;25;0
31;4;16;10;3;12;1;2;0;38;1
48;6;8;12;3;10;1;2;0;40;0
31;4;7;5;3;7;1;2;0;43;0
53;6;10;13;3;10;1;2;0;40;0
24;4;10;13;3;13;1;2;0;50;0
49;4;12;9;6;1;5;2;1;40;0
25;4;12;9;5;6;2;2;0;35;0
